Name,URL,Image,Kinds,Summary,Description
}exghts gen. Document & more (プレビュー),https://learn.microsoft.com/ja-jp/connectors/docq/,https://connectoricons-prod.azureedge.net/releases/v1.0.1525/1.0.1525.2578/docq/icon.png,Action,ドキュメント情報を抽出する,ID カードまたはその他のドキュメントから情報を抽出する
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,予約要求が受信トレイから非表示になったとき,予約要求が受信トレイから非表示になったときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,予約要求が受信トレイに表示されたとき,予約要求が受信トレイに表示されたときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,受信メッセージが受信トレイから非表示になったとき,受信メッセージが受信トレイから非表示になったときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,受信メッセージが受信トレイに表示されたとき,受信メッセージが受信トレイに表示されたときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,変更またはキャンセル要求が受信トレイから非表示になったとき,変更またはキャンセル要求が受信トレイから非表示になったときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,変更またはキャンセル要求が受信トレイに表示されたとき,変更またはキャンセル要求が受信トレイに表示されたときにトリガーします。
10to8 Appointment Scheduling (プレビュー),https://learn.microsoft.com/ja-jp/connectors/10to8/,https://connectoricons-prod.azureedge.net/releases/v1.0.1433/1.0.1433.2309/10to8/icon.png,Trigger,新しい顧客が追加されたとき,10to8 で新しい顧客が追加されたときにトリガーします。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,ユーザーを取得する,すべてのユーザーを取得します。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,今年の投稿数,今年の全投稿に関する情報を読み込みます。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,投稿,ユーザーによるすべての投稿を読み込みます。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,特定のユーザーの取得,特定のユーザーに関する情報を読み込みます。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,特定の組織,特定の組織に関する情報を読み込みます。
24 pull request (独立発行者) (プレビュー),https://learn.microsoft.com/ja-jp/connectors/24pullrequestip/,https://connectoricons-prod.azureedge.net/releases/v1.0.1608/1.0.1608.3077/24pullrequestip/icon.png,Action,組織,すべての組織を読み込みます。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,アイデア投票の追加,アイデアに投票して、お客様の支持を表明することができます。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,インストラクターの一覧表示,インストラクターに関する概要を一覧表示します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,インストラクターの取得,コース リストを含む特定のインストラクターの詳細情報を取得します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,コースの一覧表示,利用可能な公開済みのトレーニング コースを一覧表示します。
365 Training (プレビュー),https://learn.microsoft.com/ja-jp/connectors/365training/,https://connectoricons-prod.azureedge.net/releases/v1.0.1550/1.0.1550.2686/365training/icon.png,Action,コースの取得,モジュールとユニットの情報を含むコースの詳細を取得します。
